title,year,runtime,certificate,rating,metascore,votes,gross
Worth,2020,118,PG-13,6.8,67.0,16863,
The Electrical Life of Louis Wain,2021,111,PG-13,6.8,63.0,17746,
Tristan + Isolde,2006,125,PG-13,6.8,49.0,53661,14.73
What If,I) (2013,98,PG-13,6.8,59.0,80200,3.45
Penguin Bloom,2020,95,TV-14,6.8,54.0,11594,
Ice Age: The Meltdown,2006,91,PG,6.8,59.0,288619,195.33
Mr. Peabody & Sherman,2014,92,PG,6.8,59.0,75047,111.51
Four Brothers,2005,109,R,6.8,49.0,152601,74.49
Green Zone,2010,115,R,6.8,63.0,140528,35.05
I'm Not There,2007,135,R,6.8,73.0,60171,4.02
Calibre,2018,101,TV-MA,6.8,76.0,31644,
"See No Evil, Hear No Evil",1989,103,R,6.8,44.0,56666,46.91
The Map of Tiny Perfect Things,2021,98,PG-13,6.8,61.0,25648,
Freeway,1996,102,R,6.8,61.0,30275,0.30
Bugsy Malone,1976,93,G,6.8,71.0,18864,2.78
Sunshine Cleaning,2008,91,R,6.8,61.0,73023,12.06
History of the World: Part I,1981,92,R,6.8,47.0,53865,31.67
Selena,1997,127,PG,6.8,67.0,30575,35.42
The Last Dragon,1985,109,PG-13,6.8,58.0,16868,25.75
The Rescuers Down Under,1990,77,G,6.8,70.0,45462,27.93
Storks,2016,87,PG,6.8,56.0,65377,72.68
Arctic,2018,98,PG-13,6.8,71.0,56046,2.41
Street Kings,2008,109,R,6.8,55.0,117211,26.42
The American President,1995,114,PG-13,6.8,67.0,59333,65.00
Sea of Love,1989,113,R,6.8,66.0,42459,58.57
The Ghost and the Darkness,1996,110,R,6.8,46.0,64362,38.62
Goon,2011,92,R,6.8,64.0,89206,4.17
The Crucible,1996,124,PG-13,6.8,75.0,39193,7.34
The First Time,I) (2012,95,PG-13,6.8,55.0,72589,0.02
Zombie,1979,91,R,6.8,54.0,29563,
Heartbreak Ridge,1986,130,R,6.8,53.0,46533,42.72
The War of the Roses,1989,116,R,6.8,79.0,55752,86.89
Jersey Boys,2014,134,R,6.8,54.0,35912,47.03
Motherless Brooklyn,2019,144,R,6.8,60.0,60734,
Enemy Mine,1985,108,PG-13,6.8,59.0,50035,4.27
The Stanford Prison Experiment,2015,122,R,6.8,67.0,44956,0.64
Kodachrome,2017,105,TV-MA,6.8,57.0,18676,
The Idiots,1998,117,R,6.8,47.0,33058,0.01
The Alamo,1960,162,Passed,6.8,,16861,17.26
Joe,I) (2013,117,R,6.8,74.0,50118,0.37
Night of the Living Dead,1990,92,R,6.8,54.0,44113,5.84
Skin,V) (2018,118,R,6.8,58.0,17569,
Stonehearst Asylum,2014,112,PG-13,6.8,52.0,58826,
Elizabeth: The Golden Age,2007,114,PG-13,6.8,45.0,73622,16.29
Who Am I?,1998,108,PG-13,6.8,,41872,
Collateral Beauty,2016,97,PG-13,6.8,23.0,103183,31.02
The Football Factory,2004,91,R,6.8,,31957,
Dead Again,1991,107,R,6.8,66.0,29543,38.02
Harsh Times,2005,116,R,6.8,56.0,67440,3.34
The Brood,1979,92,R,6.8,63.0,32698,
The Debt,I) (2010,113,R,6.8,65.0,70993,31.18
Capricorn One,1977,123,PG,6.8,38.0,23830,
The Prince of Tides,1991,132,R,6.8,65.0,18973,74.79
Bulworth,1998,108,R,6.8,75.0,26848,26.53
Man Up,I) (2015,88,R,6.8,69.0,55157,
Middle Men,2009,105,R,6.8,60.0,38083,0.72
Wildlife,2018,105,PG-13,6.8,80.0,30378,1.03
The Burning Plain,2008,107,R,6.8,45.0,20812,0.20
El Mariachi,1992,81,R,6.8,73.0,69669,2.04
Bottle Shock,2008,110,PG-13,6.8,56.0,17369,4.04
Serial Mom,1994,95,R,6.8,64.0,31501,7.88
"Don't Worry, He Won't Get Far on Foot",2018,114,R,6.8,67.0,29217,1.44
A Prayer Before Dawn,2017,116,R,6.8,76.0,25206,
The Diary of a Teenage Girl,2015,102,R,6.8,87.0,32849,1.48
Swan Song,I) (2021,116,R,6.8,66.0,15929,
Intermission,2003,105,R,6.8,64.0,16247,0.90
Rise of the Footsoldier,2007,119,R,6.8,,21286,
Devil in a Blue Dress,1995,102,R,6.8,78.0,22380,16.03
Bugsy,1991,136,R,6.8,80.0,30270,49.11
We Own the Night,2007,117,R,6.8,59.0,91171,28.56
Hitchcock,2012,98,PG-13,6.8,55.0,77832,6.01
Chisum,1970,111,G,6.8,,10546,13.08
Florence Foster Jenkins,2016,111,PG-13,6.8,71.0,58134,27.38
Six Degrees of Separation,1993,112,R,6.8,72.0,21963,6.41
Dreamer,2005,106,PG,6.8,59.0,13773,32.70
The Boxtrolls,2014,96,PG,6.8,61.0,60104,50.84
A Christmas Carol,2009,96,PG,6.8,55.0,123265,137.86
Magic,1978,107,R,6.8,49.0,12496,25.94
T-34,2018,139,TV-14,6.8,,13525,
Bleed for This,2016,117,R,6.8,62.0,28832,4.85
Simon Birch,1998,114,PG,6.8,39.0,21862,18.25
Romper Stomper,1992,94,R,6.8,61.0,40882,0.18
The Wild Geese,1978,134,R,6.8,,13760,
Fellini Satyricon,1969,129,R,6.8,,16812,1.14
Coffy,1973,90,R,6.8,60.0,12268,
Battle of the Bulge,1965,167,Not Rated,6.8,,17309,11.12
How to Marry a Millionaire,1953,95,Not Rated,6.8,,23943,
Kiss Me,2011,105,Not Rated,6.8,,11567,
Cat Ballou,1965,97,Not Rated,6.8,60.0,15639,20.67
Salmon Fishing in the Yemen,2011,107,PG-13,6.8,58.0,66229,9.03
Young Sherlock Holmes,1985,109,PG-13,6.8,65.0,22693,19.74
Night Train to Lisbon,2013,111,R,6.8,30.0,20263,
Dead Men Don't Wear Plaid,1982,88,PG,6.8,67.0,22848,18.20
Oliver Twist,2005,130,PG-13,6.8,65.0,33697,1.99
The Boys in the Band,2020,121,R,6.8,70.0,17022,
House on Haunted Hill,1959,75,Not Rated,6.8,,29241,
Dolphin Tale,2011,113,PG,6.8,64.0,25200,72.29
Fantastic Voyage,1966,100,PG,6.8,72.0,20161,
Under the Shadow,2016,84,PG-13,6.8,83.0,29089,0.03
The Mustang,2019,96,R,6.8,77.0,13940,5.04
Anonymous,I) (2011,130,PG-13,6.8,50.0,41670,4.46
The East,2013,116,PG-13,6.8,68.0,51569,2.27
The Mechanic,1972,100,PG,6.8,51.0,15017,7.30
Spider,2002,98,R,6.8,83.0,40310,1.64
Mr. Holmes,2015,104,PG,6.8,67.0,66317,17.74
Brittany Runs a Marathon,2019,104,R,6.8,72.0,21387,0.22
Poolhall Junkies,2002,99,R,6.8,36.0,10575,0.56
My Beautiful Laundrette,1985,97,R,6.8,75.0,16836,2.45
Ms .45,1981,80,R,6.8,62.0,11765,
The Importance of Being Earnest,2002,97,PG,6.8,60.0,24274,8.38
I Want You,2012,120,,6.8,,16097,
Year of the Dragon,1985,134,R,6.8,58.0,16953,18.70
Harper,1966,121,Not Rated,6.8,51.0,10379,
Foul Play,1978,116,PG,6.8,45.0,16363,45.00
An Ideal Husband,I) (1999,97,PG-13,6.8,67.0,16352,18.54
Denial,II) (2016,109,PG-13,6.8,63.0,22669,4.07
She's Gotta Have It,1986,84,R,6.8,79.0,15706,7.14
Clouds of Sils Maria,2014,124,R,6.8,79.0,30564,1.81
Beyond the Lights,2014,116,PG-13,6.8,73.0,17063,14.62
Fair Game,I) (2010,108,PG-13,6.8,69.0,50293,9.53
Untamed Heart,1993,102,PG-13,6.8,59.0,14750,18.90
Bell Book and Candle,1958,106,Approved,6.8,,12202,
Victoria & Abdul,2017,111,PG-13,6.8,58.0,37368,22.25
Red Sun,1971,112,PG,6.8,,10172,4.84
Beast,III) (2017,107,R,6.8,74.0,14811,0.80
Beavis and Butt-Head Do America,1996,81,PG-13,6.8,64.0,59393,63.12
Family Plot,1976,120,PG,6.8,79.0,24144,
The Muppets Take Manhattan,1984,94,G,6.8,64.0,22206,25.53
Toc Toc,2017,90,TV-MA,6.8,,20896,
Shoot to Kill,1988,110,R,6.8,56.0,14459,29.30
Quick Change,1990,89,R,6.8,56.0,21634,15.26
Until the End of the World,1991,158,R,6.8,63.0,10871,0.75
Slaughterhouse-Five,1972,104,R,6.8,66.0,13573,0.57
The War Wagon,1967,101,Unrated,6.8,,10443,
Mr. Turner,2014,150,R,6.8,94.0,26672,3.96
Black '47,2018,100,R,6.8,65.0,12612,0.05
A Shaun the Sheep Movie: Farmageddon,2019,86,G,6.8,79.0,14877,
Quartet,2012,98,PG-13,6.8,64.0,20788,18.39
Miss You Already,2015,112,PG-13,6.8,59.0,19531,1.16
Thunderheart,1992,119,R,6.8,58.0,16747,22.66
Veronica Guerin,2003,98,R,6.8,55.0,21328,1.57
The History Boys,2006,109,R,6.8,74.0,21235,2.71
Taxidermia,2006,94,Not Rated,6.8,83.0,18246,0.01
The Falcon and the Snowman,1985,131,R,6.8,68.0,12196,17.10
It's Only the End of the World,2016,97,,6.8,48.0,24599,
Tetro,2009,127,R,6.8,65.0,13421,0.52
Their Finest,2016,117,R,6.8,76.0,20819,3.60
Heaven & Earth,1993,140,R,6.8,,14794,5.86
Nothing to Hide,2018,90,TV-MA,6.8,,16491,
DuckTales the Movie: Treasure of the Lost Lamp,1990,74,G,6.8,,28008,18.12
The Thieves,2012,135,Not Rated,6.8,75.0,11128,0.69
Keeping Mum,2005,99,R,6.8,53.0,35462,1.62
Paris,I) (2008,130,R,6.8,68.0,12732,1.01
The Life Ahead,2020,94,PG-13,6.8,66.0,15022,
Rooster Cogburn,1975,108,PG,6.8,,12694,8.02
The Vanishing of Sidney Hall,2017,119,R,6.8,18.0,11454,
Truth,I) (2015,125,R,6.8,66.0,20872,2.54
The Girl in the Fog,2017,128,PG-13,6.8,,12233,
The Upside of Anger,2005,118,R,6.8,63.0,22594,18.76
Other People,I) (2016,97,Unrated,6.8,67.0,12148,0.09
Young and Innocent,1937,83,Not Rated,6.8,,10369,
Dead Snow 2: Red vs. Dead,2014,100,R,6.8,59.0,25940,
One Chance,2013,103,PG-13,6.8,52.0,12883,0.09
Music of the Heart,1999,124,PG,6.8,54.0,13084,14.86
The Gods Must Be Crazy II,1989,98,PG,6.8,51.0,17572,6.29
Ondine,2009,111,PG-13,6.8,65.0,22181,0.55
Hit: The First Case,2022,132,,6.8,,15760,
A Perfect Day,I) (2015,106,R,6.8,60.0,23003,
Storytelling,2001,87,R,6.8,50.0,18068,0.91
To Be or Not to Be,1983,107,PG,6.8,61.0,11750,13.03
Che: Part Two,2008,135,Not Rated,6.8,64.0,34513,
Mary and the Witch's Flower,2017,103,PG,6.8,74.0,15353,2.42
Lymelife,2008,95,R,6.8,64.0,14474,0.43
Flashbacks of a Fool,2008,109,R,6.8,,12747,0.00
Kafka,1991,98,PG-13,6.8,46.0,10336,1.06
Millions,2004,98,PG,6.8,74.0,26068,6.58
Cemetery Junction,2010,95,R,6.8,,23935,
Ink,I) (2009,107,Not Rated,6.8,,22154,
My Life,1993,117,PG-13,6.8,,11878,27.48
Puncture,2011,100,R,6.8,54.0,24573,0.07
Shaolin,2011,131,R,6.8,53.0,19904,0.06
Red Road,2006,113,Not Rated,6.8,73.0,13438,0.15
Steamboy,2004,126,PG-13,6.8,66.0,18305,0.41
C'est la vie!,I) (2017,117,,6.8,,11481,
Azumi,2003,128,Not Rated,6.8,49.0,15008,
Indignation,2016,110,R,6.8,78.0,12437,3.40
"Torrente, el brazo tonto de la ley",1998,97,Not Rated,6.8,,13136,
Jalla! Jalla!,2000,88,,6.8,,14140,
Big Bad Wolves,2013,110,Not Rated,6.8,64.0,17198,0.03
Alone,2008,113,,6.8,,21749,
The Outrage,2010,109,R,6.8,67.0,14268,
The Hunting Party,2007,101,R,6.8,54.0,25777,0.97
OSS 117: Lost in Rio,2009,101,Not Rated,6.8,58.0,15929,0.09
The Nativity Story,2006,101,PG,6.8,52.0,12040,37.63
Baadshah,1999,175,,6.8,,19362,
Patti Cake$,2017,109,R,6.8,67.0,10425,0.80
Cookie's Fortune,1999,118,PG-13,6.8,70.0,13592,10.92
The Disappearance of Eleanor Rigby: Him,2013,89,R,6.8,63.0,10164,
Snow Angels,I) (2007,107,R,6.8,67.0,12992,0.40
Hasee Toh Phasee,2014,141,Not Rated,6.8,,15889,0.34
Infernal Affairs III,2003,118,Not Rated,6.8,,14226,
Mammoth,2009,125,Not Rated,6.8,51.0,10329,0.01
The Reluctant Fundamentalist,2012,130,R,6.8,54.0,14444,0.52
Neruda,2016,107,R,6.8,82.0,10776,0.94
Attack,2022,121,,6.8,,16326,
Mary Kom,2014,122,Not Rated,6.8,,11191,0.59
Singham,2011,143,Not Rated,6.8,,18072,0.35
Chandigarh Kare Aashiqui,2021,117,,6.8,,14849,
Love Aaj Kal,2009,128,Not Rated,6.8,,16646,2.43
Point Blank,2010,84,R,6.8,75.0,14436,0.71
Populaire,2012,111,R,6.8,58.0,12534,0.18
People Places Things,2015,85,R,6.8,68.0,10853,
Fifty Dead Men Walking,2008,117,R,6.8,57.0,11479,
Intacto,2001,108,R,6.8,59.0,13450,0.30
New York,2009,153,Not Rated,6.8,35.0,11911,0.98
Karan Arjun,1995,175,,6.8,,15281,
Shinobi: Heart Under Blade,2005,107,R,6.8,,12830,
The Boys Are Back,2009,104,PG-13,6.8,57.0,10410,0.81
Good Newwz,2019,134,Not Rated,6.8,,21296,
Interview,I) (2007,84,R,6.8,64.0,13818,0.42
Ishq,1997,161,,6.8,,11390,
Asterix Versus Caesar,1985,79,Not Rated,6.8,,10177,
Tanu Weds Manu,2011,113,Not Rated,6.8,,16177,
Don,2022,165,,6.8,,10499,
Sherni,2021,131,,6.8,,11424,
They Cloned Tyrone,2023,122,R,6.7,74.0,19575,
Asteroid City,2023,105,PG-13,6.7,74.0,55363,
No Hard Feelings,2023,103,R,6.7,59.0,24375,
Teenage Mutant Ninja Turtles,1990,93,PG,6.7,51.0,99390,135.27
Bawaal,2023,137,,6.7,,11729,
The Girl Next Door,2004,109,R,6.7,47.0,232486,14.59
In Time,2011,109,PG-13,6.7,53.0,428251,37.52
Champions,2023,124,PG-13,6.7,50.0,16277,
Charlie and the Chocolate Factory,2005,115,PG,6.7,72.0,502647,206.46
Black Panther: Wakanda Forever,2022,161,PG-13,6.7,67.0,281016,453.72
Fresh,2022,114,R,6.7,67.0,65376,
Black Widow,2021,134,PG-13,6.7,68.0,404208,183.65
Purple Hearts,2022,122,TV-14,6.7,30.0,44776,
Bumblebee,I) (2018,114,PG-13,6.7,66.0,180393,127.20
Unfaithful,2002,124,R,6.7,63.0,94001,52.80
Road House,1989,114,R,6.7,36.0,81367,30.05
Dodgeball: A True Underdog Story,2004,92,PG-13,6.7,55.0,259913,114.33
The Proposal,I) (2009,108,PG-13,6.7,48.0,342586,163.96
Emily the Criminal,2022,97,R,6.7,75.0,46406,
Final Destination,2000,98,R,6.7,36.0,268235,53.33
The Living Daylights,1987,130,PG,6.7,59.0,102883,51.19
Good Boys,2019,90,R,6.7,,78139,83.14
The Equalizer 2,2018,121,R,6.7,50.0,172448,102.08
Armageddon,1998,151,PG-13,6.7,42.0,439478,201.57
Kong: Skull Island,2017,118,PG-13,6.7,62.0,333670,168.05
The New World,2005,135,PG-13,6.7,69.0,88328,12.71
Midway,2019,138,PG-13,6.7,47.0,90881,56.85
The Client,1994,119,PG-13,6.7,65.0,70809,92.12
Eden Lake,2008,91,R,6.7,65.0,90300,0.01
Escape Plan,2013,115,R,6.7,49.0,251754,25.13
Jumanji: The Next Level,2019,123,PG-13,6.7,58.0,267981,316.83
Wanted,2008,110,R,6.7,64.0,400276,134.51
Land,I) (2021,89,PG-13,6.7,61.0,13806,
Love & Other Drugs,2010,112,R,6.7,55.0,213940,32.37
Three Thousand Years of Longing,2022,108,R,6.7,60.0,51943,
Kingsman: The Golden Circle,2017,141,R,6.7,44.0,347704,100.23
Violent Night,2022,112,R,6.7,55.0,75852,
Police Academy,1984,96,R,6.7,41.0,132735,81.20
Reality,2023,83,TV-MA,6.7,83.0,10220,
Suspiria,I) (2018,152,R,6.7,64.0,85941,2.47
The Adam Project,2022,106,PG-13,6.7,55.0,217953,
Sharper,2023,116,R,6.7,65.0,24394,
Robin Hood: Men in Tights,1993,104,PG-13,6.7,44.0,132133,35.74
Blade II,2002,117,R,6.7,52.0,227380,82.35
Under the Tuscan Sun,2003,113,PG-13,6.7,52.0,55668,43.61
Mary Poppins Returns,2018,130,PG,6.7,66.0,92227,171.96
Young & Beautiful,2013,95,Not Rated,6.7,63.0,36999,0.05
Run,I) (2020,90,PG-13,6.7,67.0,88939,
The Old Guard,2020,125,R,6.7,70.0,175749,
Pretty in Pink,1986,97,PG-13,6.7,56.0,85739,40.47
Let Him Go,2020,113,R,6.7,63.0,32903,
The Running Man,1987,101,R,6.7,45.0,160338,38.12
Goodnight Mommy,2014,99,R,6.7,81.0,57601,1.17
King Arthur: Legend of the Sword,2017,126,PG-13,6.7,41.0,225327,39.18
Emma.,2020,124,PG,6.7,71.0,58960,
Heaven's Gate,1980,219,R,6.7,57.0,16322,3.48
Warcraft,2016,123,PG-13,6.7,32.0,272239,47.37
The Hitchhiker's Guide to the Galaxy,2005,109,PG,6.7,63.0,204265,51.09
Miss Peregrine's Home for Peculiar Children,2016,127,PG-13,6.7,57.0,181522,87.24
The Wolverine,2013,126,PG-13,6.7,61.0,481247,132.56
The A-Team,2010,117,PG-13,6.7,47.0,264790,77.22
Commando,1985,90,R,6.7,51.0,169338,35.10
The Ninth Gate,1999,133,R,6.7,44.0,190221,18.66
Saved!,2004,92,PG-13,6.7,62.0,47978,8.94
Atomic Blonde,2017,115,R,6.7,63.0,201077,51.69
Hot Shots!,1991,84,PG-13,6.7,61.0,113164,69.47
Rush Hour 2,2001,90,PG-13,6.7,48.0,231213,226.16
American Reunion,2012,113,R,6.7,49.0,220069,57.01
No Escape,I) (2015,103,R,6.7,38.0,90265,27.29
The Last Letter from Your Lover,2021,110,TV-MA,6.7,57.0,20203,
Pandorum,2009,108,R,6.7,28.0,155733,10.33
The Lost Daughter,2021,121,R,6.7,86.0,70825,
Can't Buy Me Love,1987,94,PG-13,6.7,36.0,40222,31.62
Sliding Doors,1998,99,PG-13,6.7,59.0,69783,11.88
Demolition Man,1993,115,R,6.7,34.0,185968,58.06
Benedetta,2021,131,Unrated,6.7,73.0,22809,
You've Got Mail,1998,119,PG,6.7,57.0,222528,115.82
Cars 3,2017,102,G,6.7,59.0,111803,152.90
Bend It Like Beckham,2002,112,PG-13,6.7,66.0,113997,32.54
Empire Records,1995,90,PG-13,6.7,47.0,59398,0.30
Stay,I) (2005,99,R,6.7,41.0,82841,3.63
Waiting...,I) (2005,94,R,6.7,30.0,102720,16.12
Zombieland: Double Tap,2019,99,R,6.7,55.0,191501,73.12
"Extremely Wicked, Shockingly Evil and Vile",2019,110,R,6.7,52.0,98808,
Live and Let Die,1973,121,PG,6.7,55.0,112190,35.38
Return to Oz,1985,113,PG,6.7,42.0,29182,
Mistress America,2015,84,R,6.7,75.0,28021,2.46
The Good Shepherd,2006,167,R,6.7,61.0,106139,59.95
Angels & Demons,2009,138,PG-13,6.7,48.0,302572,133.38
Gangster Squad,2013,113,R,6.7,40.0,219785,46.00
Cocoon,1985,117,PG-13,6.7,65.0,66501,76.11
Pocahontas,I) (1995,81,G,6.7,58.0,196261,141.60
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,109,PG-13,6.7,60.0,34976,36.47
The Last Starfighter,1984,101,PG,6.7,67.0,44652,28.73
High Tension,2003,91,R,6.7,42.0,75308,3.68
Surf's Up,2007,85,PG,6.7,64.0,86337,58.87
Safe House,2012,115,R,6.7,52.0,230014,126.37
The Other Boleyn Girl,2008,115,PG-13,6.7,50.0,117079,26.81
For Your Eyes Only,1981,127,PG,6.7,54.0,105319,62.30
A Most Wanted Man,2014,122,R,6.7,73.0,78595,17.24
Ghost Town,I) (2008,102,PG-13,6.7,72.0,76330,13.21
The Good Dinosaur,2015,93,PG,6.7,66.0,122384,123.09
Christine,1983,110,R,6.7,57.0,88115,21.20
The Devil's Rejects,2005,107,R,6.7,53.0,103503,17.04
Tron,1982,96,PG,6.7,58.0,125956,33.00
Wyatt Earp,1994,191,PG-13,6.7,47.0,53427,25.05
The Call of the Wild,2020,100,PG,6.7,48.0,53360,62.34
Hot Rod,2007,88,PG-13,6.7,43.0,91000,13.92
Over the Hedge,2006,83,PG,6.7,67.0,184241,155.02
The Gift,2000,111,R,6.7,62.0,72641,12.01
You Were Never Really Here,2017,89,R,6.7,84.0,124005,2.52
Singles,1992,99,PG-13,6.7,71.0,31680,18.47
Jungle,I) (2017,115,R,6.7,48.0,60487,
Hairspray,2007,117,PG,6.7,81.0,135395,118.87
City of Angels,1998,114,PG-13,6.7,54.0,124819,78.69
Attack the Block,2011,88,R,6.7,75.0,109713,1.02
Fear Street: Part Two - 1978,2021,109,R,6.7,61.0,70694,
My Summer of Love,2004,86,R,6.7,82.0,21284,0.99
Center Stage,2000,115,PG-13,6.7,52.0,22342,17.17
The Salvation,2014,92,R,6.7,64.0,41439,0.01
The Matrix Revolutions,2003,129,R,6.7,47.0,529448,139.31
From Hell,2001,122,R,6.7,54.0,160473,31.60
Bloody Daddy,2023,121,,6.7,,16264,
The Tender Bar,2021,106,R,6.7,53.0,31459,
Streets of Fire,1984,93,PG,6.7,59.0,23154,8.09
2 Guns,2013,109,R,6.7,55.0,220123,75.61
Prince of Darkness,1987,102,R,6.7,50.0,47363,14.18
Slumberland,2022,117,PG,6.7,40.0,27141,
The Man with the Golden Gun,1974,125,PG,6.7,43.0,109969,20.97
Super,I) (2010,96,R,6.7,50.0,82495,0.32
Out of the Furnace,2013,116,R,6.7,63.0,121395,11.33
The Guest,I) (2014,100,R,6.7,76.0,103755,0.32
K-19: The Widowmaker,2002,138,PG-13,6.7,58.0,65657,35.17
On Her Majesty's Secret Service,1969,142,PG,6.7,61.0,96137,22.80
The Exorcism of Emily Rose,2005,119,PG-13,6.7,46.0,135422,75.07
Four Rooms,1995,98,R,6.7,,108545,4.30
Ghosts of Mississippi,1996,130,PG-13,6.7,,11829,13.05
Brooklyn's Finest,2009,132,R,6.7,43.0,65390,27.15
Lethal Weapon 3,1992,118,R,6.7,40.0,174303,144.73
Fire Island,I) (2022,105,R,6.7,72.0,12327,
Backdraft,1991,137,R,6.7,38.0,84555,77.87
A Futile and Stupid Gesture,2018,101,TV-MA,6.7,55.0,17336,
Killer Joe,2011,102,R,6.7,62.0,80860,1.99
Harriet,I) (2019,125,PG-13,6.7,66.0,29214,
2010: The Year We Make Contact,1984,116,PG,6.7,53.0,55432,40.20
Saint Maud,2019,84,R,6.7,83.0,42630,
Underworld: Evolution,2006,106,R,6.7,36.0,205568,62.32
Colors,1988,120,R,6.7,66.0,28536,46.62
The Bone Collector,1999,118,R,6.7,45.0,178310,66.52
Hardcore Henry,2015,96,R,6.7,51.0,99412,9.25
Marrowbone,2017,110,R,6.7,63.0,35973,0.00
The Whole Nine Yards,2000,98,R,6.7,47.0,125057,57.26
Hillbilly Elegy,2020,116,R,6.7,38.0,44744,
Scanners,1981,103,R,6.7,60.0,59241,14.23
Blast from the Past,1999,112,PG-13,6.7,48.0,69434,26.49
If I Stay,2014,107,PG-13,6.7,46.0,126455,50.47
James and the Giant Peach,1996,79,PG,6.7,78.0,71541,28.93
Stoker,2013,99,R,6.7,58.0,112078,1.70
Trick 'r Treat,2007,82,R,6.7,,97743,
Ferdinand,2017,108,PG,6.7,58.0,61024,84.41
All Dogs Go to Heaven,1989,84,G,6.7,50.0,44351,27.10
Vivo,I) (2021,95,PG,6.7,66.0,20682,
Candyman,1992,99,R,6.7,61.0,96252,25.79
The Hand That Rocks the Cradle,1992,110,R,6.7,64.0,47145,88.04
Freaks,2018,105,R,6.7,63.0,37836,
The Finest Hours,2016,117,PG-13,6.7,58.0,69115,27.57
U Turn,1997,125,R,6.7,54.0,53656,6.63
Popstar: Never Stop Never Stopping,2016,87,R,6.7,68.0,65748,9.39
Imagine Me & You,2005,90,R,6.7,49.0,34674,0.67
Jackie,V) (2016,100,R,6.7,81.0,81860,13.96
Around the World in 80 Days,1956,175,G,6.7,69.0,28834,42.00
Mermaids,1990,110,PG-13,6.7,56.0,34443,35.42
The Company Men,2010,104,R,6.7,69.0,47280,4.44
The Grey,2011,117,R,6.7,64.0,258375,51.58
After Yang,2021,96,PG,6.7,78.0,20008,
Damage,1992,111,R,6.7,71.0,19727,7.53
The Inbetweeners,2011,97,R,6.7,44.0,85063,0.04
Swimming Pool,2003,102,R,6.7,70.0,47476,10.11
Something's Gotta Give,2003,128,PG-13,6.7,66.0,126003,124.73
Taps,I) (1981,126,PG,6.7,49.0,19531,35.86
Where the Wild Things Are,2009,101,PG,6.7,71.0,107151,77.23
I Am Mother,2019,113,TV-14,6.7,64.0,95983,
The Call,II) (2013,94,R,6.7,51.0,127096,51.87
Hysteria,2011,100,R,6.7,53.0,32650,1.80
A Walk in the Clouds,1995,102,PG-13,6.7,54.0,35522,50.01
Metal Lords,2022,97,R,6.7,59.0,30808,
Hidalgo,2004,136,PG-13,6.7,54.0,84194,67.29
Ransom,1996,121,R,6.7,60.0,132321,136.49
Bardo: False Chronicle of a Handful of Truths,2022,159,R,6.7,55.0,13774,
Spun,2002,101,R,6.7,41.0,40103,0.41
Death Sentence,2007,105,R,6.7,36.0,73579,9.53
Gold,I) (2016,120,R,6.7,49.0,67087,7.23
Inside,2007,82,R,6.7,,43080,
Absolute Power,1997,121,R,6.7,52.0,58345,50.01
Asterix & Obelix: Mission Cleopatra,2002,107,PG,6.7,,56079,3.12
Crossing Over,2009,113,R,6.7,38.0,24167,0.45
Summer of Sam,1999,142,R,6.7,67.0,40224,19.28
Colette,I) (2018,111,R,6.7,74.0,25444,5.14
The Entity,1982,125,R,6.7,35.0,17599,13.28
Flesh+Blood,1985,126,R,6.7,56.0,19128,0.10
Where the Heart Is,2000,120,PG-13,6.7,30.0,35649,33.77
Penelope,2006,104,PG,6.7,48.0,65019,10.01
THX 1138,1971,86,R,6.7,75.0,53304,2.44
Phenomena,1985,116,R,6.7,57.0,28682,
Battle of the Sexes,2017,121,PG-13,6.7,73.0,58032,12.64
Summer of 84,2018,105,Not Rated,6.7,57.0,43810,0.09
Sweet November,2001,119,PG-13,6.7,27.0,92954,25.29
Analyze This,1999,103,R,6.7,61.0,158707,106.89
Ali,2001,157,R,6.7,65.0,103244,58.20
The Vast of Night,2019,91,PG-13,6.7,84.0,42490,
The Way Back,I) (2020,108,R,6.7,66.0,50703,13.59
Conspiracy Theory,1997,135,R,6.7,49.0,104390,75.98
Water Lilies,2007,85,,6.7,67.0,12823,0.08
Things to Do in Denver When You're Dead,1995,115,R,6.7,46.0,28936,0.53
Kicking and Screaming,1995,96,R,6.7,75.0,14457,0.70
Kalifornia,1993,117,R,6.7,49.0,56246,2.40
The Good Liar,2019,109,R,6.7,55.0,45165,
Hamburger Hill,1987,110,R,6.7,64.0,27016,13.84
Liberal Arts,2012,97,PG-13,6.7,55.0,39424,0.32
Machine Gun Preacher,2011,129,R,6.7,43.0,67889,0.54
Seeking a Friend for the End of the World,2012,101,R,6.7,59.0,117251,6.62
Pete's Dragon,2016,102,PG,6.7,71.0,60502,76.23
Everyone Says I Love You,1996,101,R,6.7,,38408,9.71
Veronica Mars,2014,107,PG-13,6.7,62.0,53925,3.32
A Dog's Way Home,2019,96,PG,6.7,50.0,19306,42.00
The Professor,I) (2018,90,R,6.7,37.0,35249,
The Horse Whisperer,1998,169,PG-13,6.7,65.0,42624,75.38
Rio Lobo,1970,114,G,6.7,55.0,13177,9.27
Prizzi's Honor,1985,130,R,6.7,84.0,25651,26.70
The Old Man & the Gun,2018,93,PG-13,6.7,80.0,48236,11.28
Something Wicked This Way Comes,1983,95,PG,6.7,68.0,10119,8.40
