title,year,runtime,certificate,rating,metascore,votes,gross
The Truman Show,1998,103,PG,8.2,90.0,1135370,125.62
Taxi Driver,1976,114,R,8.2,94.0,877439,28.26
1917,2019,119,R,8.2,78.0,634717,159.23
Indiana Jones and the Last Crusade,1989,127,PG-13,8.2,65.0,787324,197.17
Snatch,2000,102,R,8.2,55.0,881684,30.33
Kill Bill: Vol. 1,2003,111,R,8.2,69.0,1151824,70.10
The Sixth Sense,1999,107,PG-13,8.2,64.0,1019400,293.51
Green Book,2018,130,PG-13,8.2,69.0,529400,85.08
Casino,1995,178,R,8.2,73.0,541468,42.44
The Thing,1982,109,16+,8.2,57.0,444081,13.78
V for Vendetta,2005,132,R,8.2,62.0,1149097,70.51
Howl's Moving Castle,2004,119,PG,8.2,82.0,419669,4.71
A Beautiful Mind,2001,135,PG-13,8.2,72.0,958299,170.74
Die Hard,1988,132,R,8.2,72.0,908613,83.01
L.A. Confidential,1997,138,R,8.2,91.0,598228,64.62
Finding Nemo,2003,100,G,8.2,90.0,1077570,380.84
The Father,I) (2020,97,PG-13,8.2,88.0,174355,
Unforgiven,1992,130,R,8.2,85.0,424315,101.16
Pan's Labyrinth,2006,118,R,8.2,98.0,685775,37.63
Downfall,2004,156,R,8.2,82.0,365236,5.51
Gone with the Wind,1939,238,Passed,8.2,97.0,325106,198.68
Chinatown,1974,130,R,8.2,92.0,337838,
The Great Escape,1963,172,Approved,8.2,86.0,251642,12.10
Some Like It Hot,1959,121,Passed,8.2,98.0,275486,25.00
Monty Python and the Holy Grail,1975,91,PG,8.2,91.0,556058,1.23
The Elephant Man,1980,124,PG,8.2,78.0,250349,
The Secret in Their Eyes,2009,129,R,8.2,80.0,215932,6.39
For a Few Dollars More,1965,132,R,8.2,74.0,265525,15.00
Ran,1985,162,R,8.2,97.0,130889,4.14
Dial M for Murder,1954,105,PG,8.2,75.0,182544,0.01
Demon Slayer the Movie: Mugen Train,2020,117,R,8.2,72.0,66747,47.70
Drishyam 2,2022,140,Not Rated,8.2,,39153,
All About Eve,1950,138,Passed,8.2,98.0,135145,0.01
Klaus,2019,96,PG,8.2,65.0,169803,
Rashomon,1950,88,Not Rated,8.2,98.0,174481,0.10
Gangs of Wasseypur,2012,321,Not Rated,8.2,89.0,100132,
Tumbbad,2018,104,Not Rated,8.2,,54318,
To Be or Not to Be,1942,99,Passed,8.2,86.0,40399,
Yojimbo,1961,110,Not Rated,8.2,93.0,127179,
Z,1969,127,M/PG,8.2,86.0,30307,0.08
The Treasure of the Sierra Madre,1948,126,Passed,8.2,98.0,129102,5.01
Miracle in Cell No. 7,2019,132,TV-14,8.2,,52525,
The Wages of Fear,1953,131,Not Rated,8.2,85.0,63894,
Zindagi Na Milegi Dobara,2011,155,Not Rated,8.2,,82429,3.11
Drishyam,2015,163,Not Rated,8.2,,89756,0.74
Swades,2004,189,Not Rated,8.2,,94332,1.22
Andhadhun,2018,139,Not Rated,8.2,,98266,1.37
Children of Heaven,1997,89,PG,8.2,77.0,77703,0.93
Pather Panchali,1955,125,Not Rated,8.2,,35838,0.54
The Passion of Joan of Arc,1928,114,Passed,8.2,98.0,58050,0.02
Satantango,1994,439,Not Rated,8.2,,12009,
Close-Up,1990,98,Not Rated,8.2,92.0,21568,0.00
Dersu Uzala,1975,142,G,8.2,,32258,
K.G.F: Chapter 1,2018,156,Not Rated,8.2,,92923,
A Face in the Crowd,1957,126,Approved,8.2,72.0,16559,
Baahubali 2: The Conclusion,2017,167,Not Rated,8.2,,108465,20.19
Rocco and His Brothers,1960,179,Not Rated,8.2,84.0,20324,
My Father and My Son,2005,112,Not Rated,8.2,,89184,
It's Such a Beautiful Day,2012,62,Not Rated,8.2,90.0,15042,
Il Sorpasso,1962,108,Not Rated,8.2,,11815,
Sherlock Jr.,1924,45,Passed,8.2,,53470,0.98
A Man Escaped,1956,101,Not Rated,8.2,,23858,
Lion of the Desert,1980,173,PG,8.2,,16719,3.27
